sn_no ,english-hindi language,Hindi_Language,English_Language,Answers_from_ChatGpt_in_english,Hindi_Language_Answers,Tags,intent_id,category,problem_type,crop_stage,season,damage_level,local_terms,decision_logic
1,"Makke mein pramukh rog kaun se hain?
",मक्के में प्रमुख रोग कौन से हैं?,What are the major diseases that affect maize?,"Maize suffers from several major diseases such as Turcicum Leaf Blight, Downy Mildew, Common Rust, Smut, and Bacterial Stalk Rot. These can significantly reduce yield if not managed on time. Turcicum Leaf Blight appears as elongated brown spots on leaves and is common in humid weather. Downy Mildew shows as whitish fungal growth on the leaf undersides and causes plant stunting. Rust appears as reddish-brown pustules on leaves, while Smut forms large black galls on ears and stalks. Bacterial Stalk Rot results in soft rotting of the lower stem with a foul smell. For effective control, practice crop rotation, avoid water stagnation, and treat seeds with fungicide (Metalaxyl + Mancozeb). If infection appears, spray Propiconazole 25 EC @ 1 ml/litre or Mancozeb 75 WP @ 2.5 g/litre of water at 10–15-day intervals.","मक्का कई प्रमुख रोगों से ग्रस्त होता है जैसे टरसीकम लीफ ब्लाइट, डाउनी मिल्ड्यू, कॉमन रस्ट, स्मट और बैक्टीरियल स्टॉक रोट। यदि समय पर प्रबंधन नहीं किया गया तो ये फसल की पैदावार को काफी कम कर सकते हैं। टरसीकम लीफ ब्लाइट पत्तियों पर लंबे भूरे धब्बों के रूप में दिखाई देता है और नम मौसम में आम होता है। डाउनी मिल्ड्यू पत्तियों की नीचे की सतह पर सफेद फफूंदी जैसी वृद्धि के रूप में दिखाई देता है और पौधे की वृद्धि को रोकता है। रस्ट पत्तियों पर लाल-बैंगनी फफूंदी जैसे दाने के रूप में दिखाई देता है, जबकि स्मट कानों और तनों पर बड़े काले गांठों के रूप में बनता है। बैक्टीरियल स्टॉक रोट निचले तने के नरम सड़ने के साथ दुर्गंध पैदा करता है। प्रभावी नियंत्रण के लिए, फसल चक्रीकरण अपनाएँ, पानी जमा न होने दें, और बीज को फंगिसाइड (Metalaxyl + Mancozeb) से उपचारित करें। यदि संक्रमण दिखाई दे, तो Propiconazole 25 EC @ 1 ml/लीटर या Mancozeb 75 WP @ 2.5 g/लीटर पानी को 10–15 दिन के अंतराल पर छिड़काव करें।",pest and disease management,DISEASE_001,Disease,Major fungal & bacterial diseases,All stages (Seedling–Maturity),"Mainly Kharif (humid), also Rabi",Moderate–Severe,"पत्ती झुलसा, रतुआ, सफेद फफूंदी, काला गाठ रोग, तना सड़न",If general disease query → list major diseases → symptom based fungicide recommendation.
2,zero tillage kaise kare makke khe kheti me,जीरो टिलेज मक्के की खेती में कैसे करें,How can zero tillage be practiced in maize cultivation?,"Zero tillage in maize means sowing seeds without any plowing or soil disturbance after harvesting the previous crop. It saves labor, cost, and water, and improves soil structure and fertility. To implement it, clear the previous crop residue and spray a broad-spectrum herbicide like Glyphosate @ 1.5–2.0 litres per hectare. After 7 days, sow maize using a zero-till seed-cum-fertilizer drill, which simultaneously places seeds and fertilizers in the soil. Ensure proper seed depth (4–6 cm) and row spacing (60–70 cm). This method works best when soil moisture is adequate and is ideal for conserving moisture in rainfed areas.","मक्का में ज़ीरो टिलेज का मतलब है पिछले फसल की कटाई के बाद बिना कोई हल चलाए या मिट्टी में हस्तक्षेप किए बीज बोना। यह श्रम, लागत और पानी की बचत करता है और मिट्टी की संरचना और उर्वरता को बेहतर बनाता है। इसे लागू करने के लिए, पिछली फसल के अवशेष को साफ करें और ग्लाइफोसेट जैसे ब्रॉड-स्पेक्ट्रम हर्बिसाइड का छिड़काव करें @ 1.5–2.0 लीटर प्रति हेक्टेयर। 7 दिनों के बाद, ज़ीरो-टिल सीड-कम-फर्टिलाइज़र ड्रिल का उपयोग करके मक्का बोएं, जो बीज और उर्वरक को मिट्टी में एक साथ डालता है। सही बीज की गहराई (4–6 सेमी) और पंक्ति की दूरी (60–70 सेमी) सुनिश्चित करें। यह तरीका तब सबसे अच्छा काम करता है जब मिट्टी में नमी पर्याप्त हो और यह बारिश पर निर्भर क्षेत्रों में नमी संरक्षित करने के लिए आदर्श है।",crop management,CROP_MGMT_001,Crop Management,Zero tillage practice,Land preparation to Sowing,Rabi & moisture conservation areas,Not damage specific,"जीरो टिलेज, बिना जुताई बुवाई",If zero tillage query → herbicide spray → wait → zero-till drill sowing.
3,what is zero tillage,जीरो टिलेज क्या है,What is Zero tillage,"Zero tillage, or no-till farming, is a sustainable agricultural practice where crops are sown without tilling the soil. It preserves soil structure, increases water retention, reduces erosion, and maintains microbial health. This method involves using direct seeders to plant seeds into undisturbed soil, typically after spraying herbicide to kill weeds. Residues of the previous crop act as mulch, conserving moisture and suppressing weed growth. Over time, zero tillage improves soil organic matter and reduces farming costs, especially in regions with dry conditions or where timely sowing is critical.","ज़ीरो टिलेज या नो-टिल खेती एक सतत कृषि पद्धति है जिसमें मिट्टी को जोते बिना फसल बोई जाती है। यह मिट्टी की संरचना को बनाए रखता है, जल धारण क्षमता बढ़ाता है, कटाव को कम करता है और सूक्ष्मजीवों के स्वास्थ्य को बनाए रखता है। इस विधि में डायरेक्ट सीडर का उपयोग करके बिना disturbed मिट्टी में बीज बोए जाते हैं, आमतौर पर पहले हर्बिसाइड छिड़काव करके खरपतवार नष्ट किए जाते हैं। पिछली फसल के अवशेष मल्च का काम करते हैं, नमी संरक्षित करते हैं और खरपतवार की वृद्धि को दबाते हैं। समय के साथ, ज़ीरो टिलेज मिट्टी में कार्बनिक पदार्थ बढ़ाता है और खेती की लागत कम करता है, विशेष रूप से सूखे क्षेत्रों या जहाँ समय पर बुवाई महत्वपूर्ण होती है।
",crop management,CROP_MGMT_002,Crop Management,Definition of zero tillage,Pre-sowing stage,All seasons,Not damage related,"नो टिल, बिना जुताई खेती",If definition query → explain no soil disturbance method.
4,"Makke ka fasal mein pillu jaise keeda lagtha hai, kaunsa chemical daalna hai?","मक्के की फसल में पिल्लू जैसे कीड़े लगते हैं, कौन सा रसायन डालना चाहिए?","In the maize crop, caterpillar-like pests appear. Which chemical should be used to control them?","In maize, if worm-like pests are found (such as Fall Armyworm or Stem Borers), use Spinetoram 11.7 SC @ 1 ml/litre or Emamectin Benzoate 5 SG @ 0.4 g/litre of water. Spray early morning or evening, targeting the central whorl and the leaf folds where larvae hide. These pests feed on young leaves and bore into stems, hampering growth. Use pheromone traps (5 per acre) to monitor pest population and avoid unnecessary spraying. Also, maintain field hygiene and avoid continuous monocropping of maize to break the pest cycle.","मक्का में यदि कीट जैसे वर्म (Fall Armyworm या Stem Borers) दिखाई दें, तो Spinetoram 11.7 SC @ 1 ml/लीटर या Emamectin Benzoate 5 SG @ 0.4 g/लीटर पानी का छिड़काव करें। इसे सुबह जल्दी या शाम को छिड़कें, विशेष रूप से केंद्रीय whorl और पत्तियों के फोल्ड्स पर जहाँ लार्वा छिपते हैं। ये कीट नई पत्तियों पर खाते हैं और तनों में छेद करते हैं, जिससे वृद्धि बाधित होती है। कीट जनसंख्या की निगरानी के लिए फ़ेरोमोन ट्रैप (5 प्रति एकड़) का उपयोग करें और अनावश्यक छिड़काव से बचें। साथ ही, खेत की सफाई बनाए रखें और मक्का की लगातार एक ही फसल न उगाएँ ताकि कीट चक्र टूटे।
",pest and disease management,PEST_001,Pest,"Caterpillar pests (FAW, Stem borer)",Vegetative stage,Kharif high incidence,Moderate–Severe,"पिल्लू कीड़ा, सुंडी",If larvae in whorl → spray Spinetoram/Emamectin → install traps.
5,makke germination ke badmen patta lal hogaya tho kiya jaye,मक्के में अंकुरण के बाद पत्ते लाल हो जाएं तो क्या करें?,"After germination in maize, if the leaves turn red, what should be done?","If maize leaves turn red after germination, it usually indicates phosphorus deficiency or root damage caused by cold stress, compacted soil, or poor seed vigor. Apply DAP (Diammonium Phosphate) or SSP (Single Super Phosphate) at 40–50 kg/acre. If symptoms appear after germination, a foliar spray of 2% DAP solution can help. Ensure soil is neither too wet nor too dry, and maintain good field drainage. Conduct a soil test to check nutrient levels and improve the fertilization plan. Also, make sure seeds are treated and planted at the right depth to prevent early stress.","यदि अंकुरण के बाद मक्का की पत्तियाँ लाल होने लगें, तो यह आमतौर पर फॉस्फोरस की कमी या जड़ को ठंड, सघन मिट्टी या कमजोर बीज शक्ति से हुए नुकसान का संकेत है। DAP (डायमोनियम फॉस्फेट) या SSP (सिंगल सुपर फॉस्फेट) 40–50 kg/acre की दर से लगाएँ। अगर लक्षण अंकुरण के बाद दिखाई दें, तो 2% DAP घोल का पत्तियों पर छिड़काव मदद कर सकता है। सुनिश्चित करें कि मिट्टी न तो बहुत गीली हो और न बहुत सूखी, और खेत में अच्छी जल निकासी बनाए रखें। पोषक तत्वों के स्तर की जांच के लिए मिट्टी परीक्षण कराएँ और उर्वरक योजना में सुधार करें। इसके अलावा, बीजों का उपचार करें और उन्हें सही गहराई पर बोएँ ताकि प्रारंभिक तनाव से बचा जा सके।
",soil and nutrient management,NUTRIENT_001,Nutrient,Phosphorus deficiency,Early seedling stage,Early season / cold soils,Mild–Moderate,"लाल पत्ता, फास्फोरस की कमी",If red leaves after germination → apply DAP/SSP → foliar spray.
6,"Makke mein dhaana nahi bartha hai, illaj bathayiyen","मक्के में दाना नहीं भरता है, इलाज बताएं","In maize, grains do not develop properly. What is the remedy for this?","When maize plants do not form full cobs or grains, the issue usually lies in pollination failure, nutrient deficiency, water stress, or pest damage. Ensure good irrigation, especially at tasseling and silking stages, which are crucial for pollination. Apply micronutrients like boron (Boron 20% @ 1 g/litre) and foliar urea 2% at pre-flowering. Avoid overcrowding, which affects pollen transfer. Watch for pests like stem borers and armyworms that damage silk or cobs, and control them with timely application of Emamectin Benzoate or Chlorantraniliprole.","जब मक्का के पौधे पूर्ण कान या दाने नहीं बनाते हैं, तो इसका कारण आमतौर पर परागण की विफलता, पोषक तत्वों की कमी, पानी की कमी या कीटों का नुकसान होता है। परागण के लिए महत्वपूर्ण टैसलिंग और सिल्किंग चरणों में पर्याप्त सिंचाई सुनिश्चित करें। प्रीक्लावरिंग में सूक्ष्म पोषक तत्व जैसे बोरोन (Boron 20% @ 1 g/लीटर) और 2% पत्ती यूरिया लगाएँ। अधिक भीड़भाड़ से बचें, क्योंकि यह परागण को प्रभावित करता है। स्टेम बॉरर्स और आर्मीवॉर्म जैसे कीटों पर ध्यान दें, जो सिल्क या कान को नुकसान पहुँचाते हैं, और समय पर Emamectin Benzoate या Chlorantraniliprole का उपयोग करके इन्हें नियंत्रित करें।
",crop management,CROP_MGMT_003,Crop Management,Poor grain filling (pollination issue),Tasseling–Silking,All seasons (stress prone),Moderate–Severe,"दाना नहीं भरना, भुट्टा अधूरा",If poor grain filling → irrigate at tasseling → apply boron → control pests.
7,"makka ke dana nahi bhar pata hai bhura ho jata hai, butta khali hota hai kya kare","मक्के का दाना नहीं भरता, भूरा हो जाता है और भुट्टा खाली रहता है, क्या करें?","Maize grains do not fill properly, they turn brown, and the cobs remain empty. What should be done to resolve this?","If the maize cob turns brown and remains empty, this is typically caused by poor pollination, nutrient imbalance, water stress, or insect attack. To address this, irrigate regularly during tasseling and silking periods. Apply a mixture of micronutrients—especially boron and zinc—via foliar spray. Ensure balanced fertilization with nitrogen, phosphorus, and potassium. If pests are observed near silks or on cobs, spray Emamectin Benzoate 5 SG @ 0.4 g/litre. Proper plant spacing also helps in effective pollen movement and better cob development.","यदि मक्का का कान भूरा हो जाए और खाली रह जाए, तो यह आमतौर पर खराब परागण, पोषक तत्वों का असंतुलन, पानी की कमी या कीटों के हमले के कारण होता है। इसे सुधारने के लिए, टैसलिंग और सिल्किंग के दौरान नियमित सिंचाई करें। पत्ती स्प्रे के माध्यम से सूक्ष्म पोषक तत्वों का मिश्रण लगाएँ, विशेष रूप से बोरोन और जिंक। नाइट्रोजन, फॉस्फोरस और पोटाश का संतुलित उर्वरक प्रयोग सुनिश्चित करें। यदि सिल्क या कान के पास कीट दिखाई दें, तो Emamectin Benzoate 5 SG @ 0.4 g/लीटर छिड़कें। पौधों की उचित दूरी भी परागण को बेहतर बनाती है और कान का विकास सही ढंग से होता है।
",crop management,CROP_MGMT_004,Crop Management,Empty/brown cobs,Tasseling–Grain filling,Drought/high temp areas,Severe,"खाली भुट्टा, भूरा दाना",If empty brown cob → ensure irrigation → micronutrient spray → spacing correction.
8,"Makke mein thithli jaise keeda lagjatha hai, kya illah ahi?","मक्के में तितली जैसे कीड़े लग जाते हैं, क्या इलाज है?",Butterfly-like insects infest the maize crop. Is there any remedy for this?,"If butterfly-like insects are seen in maize fields, they are likely moths of fall armyworm or other pests. These moths lay eggs that hatch into larvae which damage leaves, stems, and cobs. Install pheromone traps (5/acre) to monitor and reduce the moth population. For early control, spray neem-based insecticide (Azadirachtin 1500 ppm @ 5 ml/litre) weekly or use Bacillus thuringiensis (Bt) formulations. In case of larval presence, apply Spinetoram or Emamectin Benzoate. Keep the field clean of weeds and residues that may shelter pest populations.","यदि मक्का के खेतों में तितली जैसी कीड़े दिखाई दें, तो वे संभवतः Fall Armyworm या अन्य कीटों के मोथ होते हैं। ये मोथ अंडे देते हैं, जो लार्वा बनकर पत्तियाँ, तने और कान नुकसान पहुँचाते हैं। कीट जनसंख्या की निगरानी और नियंत्रण के लिए फ़ेरोमोन ट्रैप (5 प्रति एकड़) लगाएँ। प्रारंभिक नियंत्रण के लिए, नीम आधारित कीटनाशक (Azadirachtin 1500 ppm @ 5 ml/लीटर) साप्ताहिक छिड़काव करें या Bacillus thuringiensis (Bt) का उपयोग करें। यदि लार्वा मौजूद हो, तो Spinetoram या Emamectin Benzoate का प्रयोग करें। खेत को खरपतवार और अवशेषों से साफ रखें, जो कीटों का आश्रय बन सकते हैं।
",pest and disease management,PEST_002,Pest,Moth / Fall Armyworm adult,Vegetative stage,Kharif,Moderate,"तितली कीड़ा, मोथ",If moth seen → install pheromone traps → neem spray → control larvae.
9,"Makke mein keeda lagjatha hai, kya illah ahi?","मक्के में कीड़े लग जाते हैं, क्या इलाज है?",Pests infest the maize crop. Is there any remedy for this?,"Pest infestation in maize is a serious issue that can drastically reduce yield and affect crop quality. Various insects such as the Fall Armyworm, Stem Borers, Leaf Blight, and Shoot Fly are common pests attacking maize crops. These pests damage leaves, bore into stems, or feed on the growing points, weakening the plant and stunting growth. Early detection is key, so regularly inspect your crop fields, especially the whorl and leaf axils where larvae hide. Using pheromone traps can help monitor pest populations effectively. For treatment, chemical control is recommended when pest population crosses economic threshold levels. Spraying insecticides such as Emamectin Benzoate (5 SG) at 0.4 grams per litre or Spinetoram (11.7 SC) at 1 ml per litre is effective in controlling many maize pests. Spray during early morning or late evening to avoid harming beneficial insects and to get better coverage. Along with chemical control, maintain field hygiene by removing and destroying crop residues to reduce pest habitats. Crop rotation with non-host crops reduces pest build-up in the soil. Also, balanced fertilization with proper application of nitrogen, phosphorus, and potassium strengthens plants and makes them less susceptible to pest attack. Avoid excessive nitrogen as it can promote lush growth that attracts pests. Integrating biological control by releasing natural enemies like Trichogramma wasps can also help keep pest populations under control in the long run.","मक्का में कीटों का संक्रमण गंभीर समस्या है जो पैदावार और फसल की गुणवत्ता को प्रभावित कर सकता है। Fall Armyworm, Stem Borers, Leaf Blight और Shoot Fly जैसे विभिन्न कीट आम हैं जो मक्का पर हमला करते हैं। ये कीट पत्तियों को नुकसान पहुँचाते हैं, तनों में छेद करते हैं या विकासशील बिंदुओं पर भोजन करते हैं, जिससे पौधा कमजोर और वृद्धि रुक जाती है। शुरुआती पहचान महत्वपूर्ण है, इसलिए नियमित रूप से खेत का निरीक्षण करें, विशेष रूप से whorl और पत्तियों के किनारे जहाँ लार्वा छिपते हैं। फ़ेरोमोन ट्रैप का उपयोग कीट जनसंख्या की निगरानी के लिए प्रभावी है। उपचार के लिए, जब कीट जनसंख्या आर्थिक सीमा स्तर पार कर ले, तो रासायनिक नियंत्रण किया जाता है। Emamectin Benzoate (5 SG) @ 0.4 g/लीटर या Spinetoram (11.7 SC) @ 1 ml/लीटर का छिड़काव कई मक्का कीटों को नियंत्रित करने में प्रभावी है। छिड़काव सुबह जल्दी या शाम को करें ताकि लाभकारी कीटों को नुकसान न पहुंचे और बेहतर कवरेज मिल सके। रासायनिक नियंत्रण के साथ, खेत की सफाई बनाए रखें और फसल अवशेषों को हटाकर नष्ट करें ताकि कीटों का आवास कम हो। गैर-हॉस्ट फसलों के साथ फसल चक्रीकरण कीटों के निर्माण को मिट्टी में कम करता है। साथ ही, नाइट्रोजन, फॉस्फोरस और पोटाश का संतुलित उर्वरक प्रयोग पौधों को मजबूत बनाता है और कीट हमले के प्रति प्रतिरोधक क्षमता बढ़ाता है। अत्यधिक नाइट्रोजन से बचें क्योंकि यह घनी वृद्धि को बढ़ावा देता है, जो कीटों को आकर्षित करती है। जैविक नियंत्रण को शामिल करना, जैसे Trichogramma वास्प्स को छोड़ना, लंबे समय में कीट जनसंख्या को नियंत्रित रखने में मदद करता है।
",pest and disease management,PEST_003,Pest,General maize pest infestation,All growth stages,All seasons,Variable,कीड़ा लगना,If general pest attack → monitor ETL → apply recommended insecticide.
10,"मक्के में कीड़ा लग जाता है, क्या इलाज है?","मक्के में कीड़ा लग जाता है, क्या इलाज है?","In maize, pests attack the crop. What is the treatment or control method?","In the case of pest attack on maize crops, integrated pest management (IPM) is the best approach to minimize crop losses and ensure sustainable farming. First, identify the pest type, because different pests require different control methods. For example, Fall Armyworm larvae feed on leaves and whorls and can cause serious defoliation, while Stem Borers bore inside stems causing the plants to break or wilt. To control such pests, cultural practices like early sowing to avoid peak pest periods, field sanitation by removing old stalks and weeds that harbor pests, and crop rotation are important preventive measures. Intercropping maize with repellent plants such as marigold or cowpea can reduce pest incidence naturally. For chemical intervention, use insecticides such as Chlorantraniliprole 18.5 SC at 0.4 ml per litre of water or Emamectin Benzoate as a foliar spray. Neem-based insecticides containing Azadirachtin (1500 ppm) at 5 ml per litre offer a safer, organic alternative that disrupts pest development and reduces egg laying. Spray the chemicals carefully to cover the entire plant, especially the whorl and young leaves where pests concentrate. Remember to follow recommended dosage and spray intervals to avoid pesticide resistance and environmental harm. Regular monitoring, combined with balanced nutrient management to keep plants healthy, will reduce pest damage effectively and improve crop productivity.","मक्का की फसल पर कीटों के हमले की स्थिति में समेकित कीट प्रबंधन (IPM) अपनाना सबसे अच्छा तरीका है, जिससे फसल हानि कम होती है और सतत खेती संभव होती है। सबसे पहले कीट की पहचान करें क्योंकि अलग-अलग कीटों के लिए अलग नियंत्रण विधियाँ आवश्यक होती हैं। उदाहरण के लिए, Fall Armyworm के लार्वा पत्तियों और whorl को खाते हैं और गंभीर नुकसान पहुँचाते हैं, जबकि Stem Borers तनों के अंदर छेद करके पौधों को कमजोर या सूखा देते हैं। ऐसे कीटों के नियंत्रण के लिए सांस्कृतिक उपाय जैसे समय पर बुवाई करके कीटों के चरम समय से बचना, पुराने तनों और खरपतवार को हटाकर खेत की सफाई करना तथा फसल चक्र अपनाना महत्वपूर्ण है। गेंदा या लोबिया जैसे प्रतिरोधी पौधों के साथ मक्का की अंतरफसल लेने से कीटों का प्रकोप प्राकृतिक रूप से कम होता है। रासायनिक नियंत्रण के लिए Chlorantraniliprole 18.5 SC @ 0.4 ml/लीटर पानी या Emamectin Benzoate का पत्ती स्प्रे उपयोग करें। नीम आधारित कीटनाशक जिनमें Azadirachtin (1500 ppm) @ 5 ml/लीटर हो, एक सुरक्षित जैविक विकल्प है जो कीटों के विकास को रोकता है और अंडे देने की क्षमता कम करता है। छिड़काव पूरे पौधे पर करें, विशेष रूप से whorl और नई पत्तियों पर जहाँ कीट अधिक होते हैं। अनुशंसित मात्रा और अंतराल का पालन करें ताकि कीटनाशक प्रतिरोध और पर्यावरणीय नुकसान से बचा जा सके। नियमित निगरानी और संतुलित पोषण प्रबंधन पौधों को स्वस्थ रखता है, जिससे कीटों का प्रभाव कम होता है और उत्पादन बेहतर होता है।
",pest and disease management,PEST_004,Pest,Integrated Pest Management,All stages,All seasons,Preventive,कीट प्रबंधन,If pest management query → follow IPM approach → chemical only if needed.
